ID,"Codigo da palavra no dicionario, usada para alterar uma palavra ja existente, no caso de uma palavra nova, deixar em branco",,,,,,,,,,,,,,,,,,,
URL,(Obrigatório) - Endereco da palavra. Este campo não pode se repetir em todo o dicionário. Ex.: /abacate (para http://dicionariotupiguarani.com.br/dicionario/abacate,,,,,,,,,,,,,,,,,,,
TITULO,"(Obrigatório) - É o título da página no browser. No website, um prefixo padrão é adicionado automaticamente, sende necessário aqui apenas o que é referente à palavra",,,,,,,,,,,,,,,,,,,
PALAVRA,(Obrigatório) - A palavra em questão,,,,,,,,,,,,,,,,,,,
LINGUAS,"(Opcional) - As línguas nas quais esta palavra é utilizada separadas por vírgula. Ex.: Tupi-guarani, Kay-gang",,,,,,,,,,,,,,,,,,,
DESCRICAO CURTA,(Obrigatório) - Descrição curta da palavra. Texto que aparece na lista de palavras e também usada na meta tag descrição no SEO,,,,,,,,,,,,,,,,,,,
Contador caracteres desc curta,Apenas para uso interno,,,,,,,,,,,,,,,,,,,
NOME CIENTIFICO,"(Opcional) - Nome sientífico caso se aplique, como se for o nome de uma árvore, um animal ou algo assim.",,,,,,,,,,,,,,,,,,,
ARQUIVO DE AUDIO,(Opcional) - Nome do arquivo de audio para ser tocado na página da palavra,,,,,,,,,,,,,,,,,,,
FONETICA,(Opcional) - Pronúncia da palavra em alfabeto fonético.,,,,,,,,,,,,,,,,,,,
SIGNIFICADO,"(Obrigatório) - O Significado da palavra nas línguas indíginas. Pode conter HTML e formatos, como negrito items, como para diferenciar siginificados em línguas diferentes.",,,,,,,,,,,,,,,,,,,
CURIOSIDADES,"(Opcional) - Curiosidades sobre a palavra e seu uso na língua portuguesa, como nomes de cidades e coisas desse tipo",,,,,,,,,,,,,,,,,,,
IMAGENS,"(Opcional) - Nomes dos arquivos de imagem separados por vírgula. Exp.: abacate-verde.png, abacate-cortado.png",,,,,,,,,,,,,,,,,,,
IMAGENS DESCRICAO,"(Opcional) - Descrição de cada imagem respectivamente separadas por vírgula. Ex.: O pé de abacate, Salada de abacates",,,,,,,,,,,,,,,,,,,
TAGS,"(Obrigatório) - Categorias que a palavra pertence separadas por vírgula. Ex.: fruta, cidada, comida",,,,,,,,,,,,,,,,,,,
META TAGS,(Obrigatório) - Meta-tag TAG HTML usadas para SEO,,,,,,,,,,,,,,,,,,,
TAMBEM CONHECIDO COMO,(Opcional) - Sinônimos populares,,,,,,,,,,,,,,,,,,,
FONTES E REFERENCIAS,Apenas para uso interno,,,,,,,,,,,,,,,,,,,
ID,URL,TITULO,PALAVRA,LINGUAS,TIPO,FUNCAO GRAMATICAL,DESCRICAO CURTA,Contador caracteres desc curta,NOME CIENTIFICO,ARQUIVO DE AUDIO,FONETICA,SIGNIFICADO,CURIOSIDADES,IMAGENS,IMAGENS DESCRICAO,TAGS,META TAGS,,TERMOS EM PORTUGUES,FONTES E REFERENCIAS
185,abacate,ABACATE,Abacate,Náhuatle (México),,,"Fruto do abacateiro. A palavra abacate vem de ""awacatl"" da língua Náhuatle, falada pelos Astecas que habitavam o México.",121,(Persea americana),,,"A origem da palavra abacate vem do termo ""awacatl"" da língua Náhuatle, falada pelas tribos astecas que habitavam a região central do México",,['185_Abacate_1.png'],,"culinária, frutas, plantas",abacate,,auacati e avacate,
206,abaete,ABAETÉ,Abaeté,Tupi,,,"""Abaeté"" é um termo oriundo da língua tupi e significa ""homem verdadeiro"", junção de abá (""homem"") e eté (""verdadeiro"").",120,,,,"""Abaeté"" é um termo oriundo da língua tupi e significa ""homem verdadeiro"", através da junção dos termos abá (""homem"") e eté (""verdadeiro"").Abaeté também é o nome de um município do estado de Minas Gerais.",,['206_Abaeté_1.png'],,"cidades, nomes de lugares",abaeté,,,"Wikipediahttp://abaete.mg.gov.br/portal/"
210,babacu,BABAÇU,Babaçu,Tupi,,,"É um tipo de palmeira típica do Norte e Nordeste brasileiro.Do Tupi-Guarani: ibá-guaçu = fruto grande",102,(Orbignya phalerata Martius),,,Do Tupi-Guarani: ibá-guaçu = fruto grande,O babaçu é uma palmeira típica do Norte e Nordeste brasileiro e principal produto do extrativismo vegetal do Maranhão. Sua palha é utilizada para confecção de cestos e artesanato. Seus frutos (cocos) têm propriedades medicinais e é utilizado como suplemento alimentar. Das sementes se extrai um óleo utilizado na industria de cosméticos e que também como bio-combustível.,"['210_Babaçu_1.png', '210_Babaçu_2.png', '210_Babaçu_3.png', '210_Babaçu_4.png']",,"árvores, plantas, nomes de lugares",babaçu,,"baguaçu, uauaçu, bauaçu, coco-de-macaco, coco-de-palmeira",
214,abacaxi,ABACAXI,Abacaxi,Tupi,,,"É uma fruta. A palavara abacaxi provavelmente vem do tupi ibacati: fruto com cheiro forte, fruto fedorento",107,(Ananas comosus),,,"O termo abacaxi é, com forte probabilidade, oriundo do tupi ibacati:ibá = fruto; cating = cheirar fortemente, federibacati = fruto com cheiro forte, fruto fedorento",,['214_Abacaxi_1.png'],,"culinária, frutas, plantas","abacaxi, ananás",,ananás,
